=== Run started  2025-11-09T12:41:09 ===
Args: r:/pythonstuff/addsimtype/addsimtype.py
Log file: logs\addsimtype_2025-11-09_12-41-09.log
Feed index loaded: 1730 (ICAO,version) MSFS entries.
NOOP        | DAAG | v2.0.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Algeria\net-airport-daag-houari-boumediene\manifest.json
NOOP        | DATG | v2.0.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Algeria\net-airport-datg-in-guezzam\manifest.json
NOOP        | FNLU | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Angola\fsxcenery-airport-fnlu-quatro-de-fevereiro\manifest.json
NOOP        | FBSK | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Botswana\barellimsfsaddon-airport-fbsk-gaborone\manifest.json
WILL_UPDATE | FGSL | v1.0.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Cameroon\fsxcenery-airport-fgsl-malabo\manifest.json
NOOP        | FKYS | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Cameroon\fsxcenery-airport-fkys-yaounde\manifest.json
NOOP        | FSDG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Egypt\fsdg-airport-hegn-hurghada\manifest.json
NOOP        | FSDG | v1.4.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Egypt\fsdg-airport-hesh-sharm-el-sheikh\manifest.json
NOOP        | HAAB | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Ethiopia\barellimsfsaddon-airport-haab-addis-ababa\manifest.json
NOOP        | FSDG | v1.4.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Ghana\fsdg-airport-dgaa-kotoka\manifest.json
NOOP        | ORBX | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Guinea\orbx-airports-png-highlands-pack2\manifest.json
NOOP        | ORBX | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Guinea\orbx-airports-png-highlands-pack3\manifest.json
NOOP        | HKMO | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Kenya\askies-airport-hkmo-mombasa-moi\manifest.json
NOOP        | HKJK | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Kenya\inibuilds-airport-hkjk-nairobi\manifest.json
NOOP        | GLRB | v1.3.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Liberia\africa4fs-airport-glrb-roberts\manifest.json
NOOP        | FMMI | v1.0.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Madagascar\vuelosimple-airport-fmmi-ivato\manifest.json
NOOP        | FSDG | v1.6.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Mauritius\fsdg-island-mauritius\manifest.json
NOOP        | FSDG | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Morocco\fsdg-airport-gmad-agadir-al-massira\manifest.json
NOOP        | GMFO | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Morocco\ismaberk-airport-gmfo-oujda-angads\manifest.json
WILL_UPDATE | GMTT | v1.0.2 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Morocco\simpixel-airport-gmtt-tanger\manifest.json
NOOP        | FSDG | v1.2.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Namibia\fsdg-airport-fywb-walvis-bay\manifest.json
NOOP        | FSDG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Namibia\fsdg-airport-fywh-hosea-kutako\manifest.json
NOOP        | DNKN | v2.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Nigeria\fsxcenery-airport-dnkn-mallam-aminu\manifest.json
WILL_UPDATE | DAAT | v2.2.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Nigeria\net-airport-daat-aguenar\manifest.json
NOOP        | FSDG | v1.6.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Seychelles\fsdg-island-seychelles\manifest.json
NOOP        | FAEL | v3.0.4 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\South Africa\nmgsimulations-airport-fael-king-phalo\manifest.json
NOOP        | FAGM | v1.0.9 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\South Africa\nmgsimulations-airport-fagm-rand\manifest.json
NOOP        | FAKM | v3.1.5 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\South Africa\nmgsimulations-airport-fakm-kimberley\manifest.json
NOOP        | FAWB | v1.5.7 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\South Africa\nmgsimulations-airport-fawb-wonderboom\manifest.json
NOOP        | FAWN | v1.0.5 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\South Africa\nmgsimulations-airport-fawn-cape-winelands\manifest.json
NOOP        | HTZA | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Tanzania\barellimsfsaddon-airport-htza-zanzibar\manifest.json
WILL_UPDATE | FSDG | v1.2.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Tunisia\fsdg-airport-dtmb-monastir\manifest.json
NOOP        | FSDG | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Tunisia\fsdg-airport-dtnh-enfidha\manifest.json
NOOP        | FSDG | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Tunisia\fsdg-airport-dttj-djerba\manifest.json
NOOP        | FLHN | v1.8.8 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Zimbabwe\61treestudio-airport-flhn-livingstone\manifest.json
NOOP        | FSDG | v1.2.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Zimbabwe\fsdg-airport-fvfa-victoria-falls\manifest.json
NOOP        | FXMM | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Africa\Zimbabwe\fsxcenery-airport-fxmm-moshoeshoe\manifest.json
WILL_UPDATE | SKPE | v2.0.5 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Armenia\teikofstudio-airport-skpe-matecana\manifest.json
WILL_UPDATE | UBBB | v1.3.0 | simType None -> MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Azerbaijan\azrsim-airport-ubbb-baku\manifest.json
NO_MATCH    | MFSG | v2.4.0 | E:\MFS2020&2024 Addons\Airports\Asia\Bahrain\mfsg-airport-obbi-bahrain\manifest.json
NOOP        | VGHS | v1.5.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Bangladesh\finalapproachdesignsimulations-airport-vghs-dhaka\manifest.json
NOOP        | VGSY | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Bangladesh\finalapproachdesignsimulations-airport-vgsy-sylhet\manifest.json
NOOP        | VQPR | v1.0.2 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Bhutan\ironsim-airport-vqpr-paro\manifest.json
NO_MATCH    | MFSG | v1.2.0 | E:\MFS2020&2024 Addons\Airports\Asia\Brunei\mfsg-airport-wbsb-brunei\manifest.json
NOOP        | VYMD | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Burma\siamflight-airport-vymd-mandalay\manifest.json
NOOP        | VDSA | v2.0.0 | simType already MSFS 2020/2024 | E:\MFS2020&2024 Addons\Airports\Asia\Cambodia\fsxcenery-airport-vdsa-siem-reap\manifest.json
NO_MATCH    | MFSG | v1.1.0 | E:\MFS2020&2024 Addons\Airports\Asia\Cambodia\mfsg-airport-vdpp-phnom-penh\manifest.json
