=== Run started  2025-11-09T12:52:54 ===
Args: addsimtype.py --addons-root E:\MFS2020 Addons\Airports --feed-root Z:\projects\sceneryRSS --dest-root E:\MFS2020&2024 Addons\Airports
Log file: logs\addsimtype_2025-11-09_12-52-54.log
Initializing paths …
Roots: addons=E:\MFS2020 Addons\Airports | feed=Z:\projects\sceneryRSS | dest=E:\MFS2020&2024 Addons\Airports
Feed index loaded: 1730 (ICAO,version) MSFS entries.
NOOP        | DABC | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Algeria\simsoft-airport-dabc-mohamed-boudiaf\manifest.json
WILL_MOVE   | DABC | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Algeria\simsoft-airport-dabc-mohamed-boudiaf -> E:\MFS2020&2024 Addons\Airports\Africa\Algeria\simsoft-airport-dabc-mohamed-boudiaf
NO_MATCH    | FKKD | v2.1.0 | E:\MFS2020 Addons\Airports\Africa\Cameroon\fsxcenery-airport-fkkd-douala\manifest.json
NO_MATCH    | FCBB | v2.0.0 | E:\MFS2020 Addons\Airports\Africa\Congo\fsxcenery-airport-fcbb-maya-maya\manifest.json
NOOP        | FCPP | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Congo\fsxcenery-airport-fcpp-pointe-noire\manifest.json
WILL_MOVE   | FCPP | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Congo\fsxcenery-airport-fcpp-pointe-noire -> E:\MFS2020&2024 Addons\Airports\Africa\Congo\fsxcenery-airport-fcpp-pointe-noire
NO_MATCH    | SKDS | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Djibouti\skds-airport-hdam-djibouti\manifest.json
NOOP        | HEMA | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Egypt\chudobadesign-airport-hema-marsa-alam\manifest.json
WILL_MOVE   | HEMA | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Egypt\chudobadesign-airport-hema-marsa-alam -> E:\MFS2020&2024 Addons\Airports\Africa\Egypt\chudobadesign-airport-hema-marsa-alam
NOOP        | HEAX | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Egypt\fsxcenery-airport-heax-el-nouzha\manifest.json
WILL_MOVE   | HEAX | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Egypt\fsxcenery-airport-heax-el-nouzha -> E:\MFS2020&2024 Addons\Airports\Africa\Egypt\fsxcenery-airport-heax-el-nouzha
NO_MATCH    | HESN | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Egypt\fsxcenery-airport-hesn-aswan\manifest.json
NO_MATCH    | DIAP | v2.0.0 | E:\MFS2020 Addons\Airports\Africa\Ivory Coast\fsxcenery-airport-diap-felix-houphouet\manifest.json
NO_MATCH    | DSKY | v1.1.0 | E:\MFS2020 Addons\Airports\Africa\Madagascar\dsky-airport-fmnn-fascene\manifest.json
NOOP        | GABS | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Mali\fsxcenery-airport-gabs-modibo-keita\manifest.json
WILL_MOVE   | GABS | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Mali\fsxcenery-airport-gabs-modibo-keita -> E:\MFS2020&2024 Addons\Airports\Africa\Mali\fsxcenery-airport-gabs-modibo-keita
NO_MATCH    | GQNO | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Mauritania\fsxcenery-airport-gqno-nouakchott\manifest.json
NOOP        | GMMI | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Morocco\fsxcenery-airport-gmmi-essaouira-mogador\manifest.json
WILL_MOVE   | GMMI | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Morocco\fsxcenery-airport-gmmi-essaouira-mogador -> E:\MFS2020&2024 Addons\Airports\Africa\Morocco\fsxcenery-airport-gmmi-essaouira-mogador
NOOP        | GMFB | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Morocco\perfectsoft-airport-gmfb-bouarfa\manifest.json
WILL_MOVE   | GMFB | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Morocco\perfectsoft-airport-gmfb-bouarfa -> E:\MFS2020&2024 Addons\Airports\Africa\Morocco\perfectsoft-airport-gmfb-bouarfa
NOOP        | GMMX | v1.2.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Morocco\perfectsoft-airport-gmmx-marrakesh-menara\manifest.json
WILL_MOVE   | GMMX | v1.2.0 | E:\MFS2020 Addons\Airports\Africa\Morocco\perfectsoft-airport-gmmx-marrakesh-menara -> E:\MFS2020&2024 Addons\Airports\Africa\Morocco\perfectsoft-airport-gmmx-marrakesh-menara
NOOP        | GMMN | v1.2.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Morocco\prealsoft-airport-gmmn-casablanca\manifest.json
WILL_MOVE   | GMMN | v1.2.1 | E:\MFS2020 Addons\Airports\Africa\Morocco\prealsoft-airport-gmmn-casablanca -> E:\MFS2020&2024 Addons\Airports\Africa\Morocco\prealsoft-airport-gmmn-casablanca
NOOP        | FQVL | v1.1.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Mozambique\caelusaerial-airport-fqvl-vilankulo\manifest.json
WILL_MOVE   | FQVL | v1.1.0 | E:\MFS2020 Addons\Airports\Africa\Mozambique\caelusaerial-airport-fqvl-vilankulo -> E:\MFS2020&2024 Addons\Airports\Africa\Mozambique\caelusaerial-airport-fqvl-vilankulo
NO_MATCH    | FQMA | v2.1.0 | E:\MFS2020 Addons\Airports\Africa\Mozambique\fsxcenery-airport-fqma-maputo\manifest.json
NO_MATCH    | MAGA | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Nigeria\maga-airport-dnka-kaduna\manifest.json
NO_MATCH    | GOBD | v1.3.0 | E:\MFS2020 Addons\Airports\Africa\Senegal\devinci-airport-gobd-blaise-diagne\manifest.json
NO_MATCH    | FAOR | v1.0.1 | E:\MFS2020 Addons\Airports\Africa\South Africa\inibuilds-airport-faor-johannesburg\manifest.json
NOOP        | HSSJ | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Sudan\fsxcenery-airport-hssj-juba\manifest.json
WILL_MOVE   | HSSJ | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Sudan\fsxcenery-airport-hssj-juba -> E:\MFS2020&2024 Addons\Airports\Africa\Sudan\fsxcenery-airport-hssj-juba
NO_MATCH    | HTMR | v1.1.1 | E:\MFS2020 Addons\Airports\Africa\Tanzania\projectcoastline-airport-htmr-msembe\manifest.json
NOOP        | HTKJ | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Tanzania\vuelosimple-airport-htkj-kilimanjaro\manifest.json
WILL_MOVE   | HTKJ | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Tanzania\vuelosimple-airport-htkj-kilimanjaro -> E:\MFS2020&2024 Addons\Airports\Africa\Tanzania\vuelosimple-airport-htkj-kilimanjaro
NOOP        | DXXX | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Togo\fsxcenery-airport-dxxx-lome-tokoin\manifest.json
WILL_MOVE   | DXXX | v1.0.0 | E:\MFS2020 Addons\Airports\Africa\Togo\fsxcenery-airport-dxxx-lome-tokoin -> E:\MFS2020&2024 Addons\Airports\Africa\Togo\fsxcenery-airport-dxxx-lome-tokoin
NO_MATCH    | DTKA | v1.2.0 | E:\MFS2020 Addons\Airports\Africa\Tunisia\c3d-airport-dtka-tabarka\manifest.json
NOOP        | DTTA | v1.0.1 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Africa\Tunisia\prealsoft-airport-dtta-tunis-carthage\manifest.json
WILL_MOVE   | DTTA | v1.0.1 | E:\MFS2020 Addons\Airports\Africa\Tunisia\prealsoft-airport-dtta-tunis-carthage -> E:\MFS2020&2024 Addons\Airports\Africa\Tunisia\prealsoft-airport-dtta-tunis-carthage
NO_MATCH    | FVHA | v2.1.0 | E:\MFS2020 Addons\Airports\Africa\Zimbabwe\fsxcenery-airport-fvha-robert-gabriel\manifest.json
NO_MATCH    | ???? | v1.1.2 | E:\MFS2020 Addons\Airports\Antarctica\aerosoft-scenery-antarctica-vol-1\manifest.json
NO_MATCH    | UDKS | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Armenia\amsim-airport-udks-stepanakert\manifest.json
NO_MATCH    | UDSG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Armenia\amsim-airport-udsg-shirak\manifest.json
NO_MATCH    | UDYZ | v2.0.0 | E:\MFS2020 Addons\Airports\Asia\Armenia\amsim-airport-udyz-zvartnots\manifest.json
NO_MATCH    | MFSG | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\Burma\mfsg-airport-vyyy-yangon\manifest.json
NOOP        | ZBZL | v1.0.0 | simType already MSFS 2020/2024 | E:\MFS2020 Addons\Airports\Asia\China\catchstar-airport-zbzl-zhalantun\manifest.json
WILL_MOVE   | ZBZL | v1.0.0 | E:\MFS2020 Addons\Airports\Asia\China\catchstar-airport-zbzl-zhalantun -> E:\MFS2020&2024 Addons\Airports\Asia\China\catchstar-airport-zbzl-zhalantun
